fight_id,event_date,height_cm_diff,reach_cm_diff,age_diff,sig_strikes_landed_per_fight_diff,sig_strike_accuracy_diff,knockdowns_per_fight_diff,takedowns_landed_per_fight_diff,takedown_accuracy_diff,submission_attempts_per_fight_diff,control_time_seconds_per_fight_diff,win_streak_diff,wins_last_5_diff,total_prior_fights_diff,total_rounds_fought_diff,pct_wins_by_ko_diff,pct_wins_by_submission_diff,pct_wins_by_decision_diff,scheduled_rounds,days_since_last_fight_diff,ranking_position_diff,target
132,2025-10-04,,-5.0800000000000125,,8.0,-0.1658692185007975,0.5,0.0,-0.33333333333333337,-0.5,-183.5,1.0,1.0,1.0,0.0,-0.5,0.0,0.0,3,-98.0,,1
108,2025-10-11,,10.159999999999997,1.1499000000000024,-8.0,0.13184931506849318,0.0,-2.5,-0.2954545454545454,0.0,-22.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-28.0,,1
109,2025-10-11,,-17.78,4.3504000000000005,0.33333333333333304,0.4222222222222223,-0.5,0.8333333333333333,0.19444444444444442,0.0,22.83333333333333,-2.0,-1.0,1.0,6.0,-0.5,0.0,0.0,3,0.0,,1
110,2025-10-11,,5.0800000000000125,,10.5,0.2282608695652174,0.0,0.0,0.0,0.0,19.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3,175.0,,1
114,2025-10-11,,5.0800000000000125,3.096499999999999,-9.5,-0.04420289855072457,0.0,1.5,0.0,1.0,125.5,0.0,-1.0,-1.0,-2.0,,,,3,-133.0,,1
115,2025-10-11,,7.6200000000000045,-2.4147,-7.5,-0.13221153846153844,0.0,-0.8333333333333333,-0.30000000000000004,0.6666666666666667,-2.5,0.0,-1.0,-1.0,-3.0,0.0,0.0,0.0,3,-70.0,,1
95,2025-10-18,,-7.6200000000000045,,-1.0,0.07114078508115573,-0.25,0.0,0.4423076923076923,-0.25,71.41666666666666,-3.0,-3.0,-1.0,-2.0,-0.25,0.0,0.0,3,7.0,,1
103,2025-10-18,,-2.539999999999992,5.637300000000003,13.0,-0.07193143556779913,0.0,-0.5,-1.0,-0.5,-12.5,0.0,0.0,1.0,5.0,1.0,0.0,0.0,3,56.0,,1
83,2025-10-25,,-2.539999999999992,-4.815899999999999,16.5,0.0021739130434782483,0.0,0.0,0.3333333333333333,-1.0,-70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,91.0,,1
84,2025-10-25,,0.0,,-15.0,-0.008928571428571452,0.0,0.5,0.16666666666666666,0.0,-49.5,-2.0,-1.0,0.0,4.0,0.0,0.0,0.0,3,140.0,,1
85,2025-10-25,,2.539999999999992,,-5.0,-0.17943548387096775,0.0,0.0,-0.33333333333333337,0.0,-61.0,-1.0,0.0,1.0,5.0,-1.0,0.0,0.0,3,42.0,,1
89,2025-10-25,,15.240000000000009,-2.3873999999999995,-19.5,-0.0932388222464558,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,63.0,,1
92,2025-10-25,,-7.6200000000000045,,1.5,0.13796791443850265,0.0,0.5,1.0,0.0,28.5,0.0,1.0,1.0,5.0,,,,3,-238.0,,1
69,2025-11-01,,2.539999999999992,2.0425000000000004,-8.833333333333332,-0.16296296296296292,-0.16666666666666669,-0.5,-1.0,-0.5,14.833333333333336,1.0,1.0,1.0,-1.0,0.6666666666666666,0.0,0.0,3,-77.0,,1
72,2025-11-01,,-5.0800000000000125,-0.06850000000000023,-30.0,0.02777777777777779,0.0,0.0,0.0,0.0,-216.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,3,-252.0,,1
74,2025-11-01,,5.079999999999984,-0.454500000000003,-16.0,0.05609492988133763,0.0,-1.0,-0.5714285714285714,0.0,-73.0,1.0,0.0,-3.0,-6.0,0.0,0.0,0.0,3,14.0,,1
76,2025-11-01,,5.0800000000000125,-4.7529,-5.0,-0.13662979830839295,0.0,-0.5,-0.16666666666666666,-0.5,-84.5,-1.0,-1.0,0.0,0.0,0.5,0.0,0.0,3,-21.0,,1
57,2025-11-08,,-15.240000000000009,,-6.833333333333334,0.010309278350515483,0.0,0.6666666666666667,-0.2857142857142857,0.3333333333333333,33.0,2.0,2.0,1.0,3.0,-1.0,0.0,0.0,3,-77.0,,1
63,2025-11-08,,-5.079999999999984,,-3.666666666666666,-0.06666666666666665,-0.3333333333333333,1.3333333333333335,0.15873015873015872,0.5,37.16666666666667,0.0,0.0,-1.0,-1.0,-0.5,0.0,0.0,3,0.0,,1
67,2025-11-08,,2.539999999999992,1.062299999999997,2.833333333333334,0.21264150943396226,0.0,0.16666666666666669,0.5,0.0,22.333333333333336,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,3,98.0,,1
68,2025-11-08,,0.0,5.002100000000002,9.75,0.30624999999999997,0.0,0.75,0.6,0.25,40.5,0.0,2.0,3.0,7.0,,,,3,-56.0,,1
48,2025-11-15,,7.6200000000000045,-6.302500000000002,-5.5,-0.0712058212058212,0.0,0.0,0.9090909090909091,0.0,-16.5,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,3,91.0,,1
49,2025-11-15,,0.0,0.210799999999999,-11.166666666666668,-0.06399026763990268,1.0,0.3333333333333333,0.5,0.0,67.0,1.0,1.0,1.0,2.0,-0.5,0.0,0.0,3,21.0,,1
53,2025-11-15,,2.5400000000000205,1.9658000000000015,-17.5,0.11379800853485067,0.0,-1.0,0.050000000000000044,1.0,134.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,-238.0,,1
54,2025-11-15,,7.6200000000000045,-15.496199999999998,-9.000000000000002,-0.02150453550203313,0.0,0.0,0.75,0.0,-6.666666666666671,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,3,28.0,,1
30,2025-11-22,,5.0800000000000125,-9.357999999999997,-12.333333333333332,-0.049668059995082336,0.0,-0.6666666666666667,-0.3333333333333333,0.6666666666666666,29.83333333333333,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3,14.0,,1
32,2025-11-22,,-7.6200000000000045,-9.670099999999998,-18.0,-0.13166144200626956,0.0,1.5,0.6,0.5,110.0,1.0,1.0,1.0,3.0,,,,3,7.0,,1
33,2025-11-22,,0.0,-1.6426999999999978,8.25,-0.004612159329140442,-0.25,-0.5,-0.5,0.0,-100.0,-1.0,1.0,2.0,5.0,0.16666666666666663,0.0,0.0,3,-273.0,,1
37,2025-11-22,,0.0,,-15.0,-0.05003523608174765,0.0,1.0,-0.4285714285714286,0.75,76.0,1.0,3.0,3.0,10.0,,,,3,-406.0,,1
40,2025-11-22,,-5.079999999999984,-5.204699999999999,24.0,-0.07424242424242422,0.0,0.0,0.033333333333333354,-0.5,-39.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,3,-49.0,,1
16,2025-12-06,,-5.0800000000000125,-11.485200000000003,9.666666666666668,-0.050811722538477766,0.16666666666666666,-1.3333333333333333,0.5,-0.5,-168.5,3.0,3.0,4.0,13.0,0.2,0.0,0.0,3,0.0,,1
18,2025-12-06,,15.240000000000009,-11.5811,-3.333333333333334,0.18731707317073165,0.3333333333333333,0.0,0.0,0.0,34.666666666666664,1.0,2.0,2.0,4.0,,,,3,-126.0,,1
21,2025-12-06,,-5.079999999999984,1.3496999999999986,-14.833333333333334,-0.3946478873239436,0.3333333333333333,-0.16666666666666669,-0.6666666666666667,-1.1666666666666667,24.83333333333333,1.0,1.0,1.0,4.0,-0.5,0.0,0.0,3,-35.0,,1
23,2025-12-06,,15.240000000000009,-2.8474000000000004,-9.0,0.16444521377877785,0.0,0.5,1.0,0.0,31.5,0.0,0.0,0.0,3.0,-0.5,0.0,0.0,3,140.0,,1
27,2025-12-06,,0.0,,4.333333333333334,-0.17690417690417687,0.3333333333333333,0.0,0.0,0.0,-67.33333333333333,0.0,2.0,1.0,2.0,,,,3,-217.0,,1
28,2025-12-06,,5.079999999999984,-5.842600000000001,5.0,-0.002619047619047632,0.0,-0.6666666666666666,-0.5,0.0,-69.0,1.0,1.0,0.0,-1.0,0.3333333333333333,0.0,0.0,3,35.0,,1
6,2025-12-13,,5.0800000000000125,-0.8871000000000002,11.0,-0.12644410803920003,0.0,-1.3333333333333333,-0.5714285714285714,0.3333333333333333,-72.66666666666666,2.0,1.0,0.0,-1.0,-1.0,0.0,0.0,3,56.0,,1
